[2026-03-05 03:31:33.972] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
[2026-03-05 03:31:42.166] [CLIENT QUEUE_401_RETRY] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 5 | Words: 35 | Got 401, will retry (attempt 1)
[2026-03-05 03:33:30.192] [CLIENT SESSION_EXPIRED] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Session expired after 3 consecutive checks
[2026-03-05 03:33:30.247] [CLIENT QUEUE_CLEARED_SESSION] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Cleared 1 items due to session expiration
[2026-03-05 03:42:02.129] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
[2026-03-05 03:42:06.128] [CLIENT QUEUE_SYNC_SUCCESS] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 6 | Words: 47 | Synced from queue
[2026-03-05 03:42:32.248] [CLIENT CONNECTION_FAILURES] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | 3 consecutive connection failures
[2026-03-05 03:43:12.388] [CLIENT CONNECTION_FAILURES] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | 3 consecutive connection failures
[2026-03-05 03:43:31.048] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
[2026-03-05 03:43:34.746] [CLIENT QUEUE_SYNC_SUCCESS] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 8 | Words: 68 | Synced from queue
[2026-03-05 03:44:39.376] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
[2026-03-05 03:44:41.525] [CLIENT QUEUE_SYNC_SUCCESS] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 9 | Words: 82 | Synced from queue
[2026-03-05 03:48:02.290] [CLIENT CONNECTION_FAILURES] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | 3 consecutive connection failures
[2026-03-05 03:49:12.258] [CLIENT CONNECTION_FAILURES] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | 10 consecutive connection failures
[2026-03-05 03:52:31.420] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
[2026-03-05 03:52:31.473] [CLIENT QUEUE_SKIP_STALE] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 20 | Words: 175 | Queued: 19 turns, 171 words | Skipped stale queued data - editor has more content
[2026-03-05 03:56:02.233] [CLIENT CONNECTION_FAILURES] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | 3 consecutive connection failures
[2026-03-05 03:57:12.226] [CLIENT CONNECTION_FAILURES] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | 10 consecutive connection failures
[2026-03-05 03:59:17.788] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
[2026-03-05 03:59:17.838] [CLIENT QUEUE_SKIP_STALE] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 29 | Words: 366 | Queued: 28 turns, 345 words | Skipped stale queued data - editor has more content
[2026-03-05 04:10:38.068] [CLIENT QUEUE_SYNC_START] [2408:820c:685c:3160:7815:60f:cdba:4a51] File: user_6_Day1_dup_1_simplified.json | Turns: 0 | Words: 0 | Processing 1 queued items
